ORO_storage_af,ORO_outflow_cfs,ORO_inflow_cfs
2381610.5,8394,2683.5
2364914,8290.5,2560
2349519,7957,2348.5
2333024.5,8702.5,2215
2315428.5,7356.5,2419
2299548,7728,2357
2279937,7565,1887.5
2263491,7440.5,2276.5
2245858.5,7386.5,2348.5
2228506,6491.5,2093.5
2212651,8107.5,2349
2195767.5,8067.5,2118.5
2179914,7636,2276
2165549,7622,2185
2151086,7245,2129.5
2133481.5,7349.5,1951.5
2115603,7368.5,2139.5
2101325.5,7665,2293
2084401.5,7124,2156.5
2069145,7457,2136.5
2052137,7412.5,2164
2037476.5,7028,2135.5
2023692.5,7122.5,1936
2009386,6997,1843
1994892,7165.5,1880
1980947,6986.5,2139
1968536,6734.5,2189.5
1958631,7052.5,2093
1947358.5,6979.5,2119.5
1936083.5,6725.5,2247.5
1924295.5,6686.5,2312.5
1912450,6916.5,2245.5
1900311,6466.5,2255.5
1890409.5,6433,2272
1880605,6946,2096.5
1870832.5,6364,1892.5
1862764,5596.5,2272.5
1854119.5,5494,2001
1843541,4659.5,2204
1833352,5399,1872
1822461,6313,1996
1814149.5,5912,2034.5
1805264,5893.5,1843
1796071.5,6249.5,2103
1789011,4373.5,1782.5
1783282.5,4597,2117
1776635,5080.5,1895
1773187.5,4984,2008.5
1766254,4132,1814.5
1759046.5,4780,2034
1751748.5,4730.5,1797.5
1744890.5,4976,2330
1740729,3783.5,1946.5
1735089,4137,2036.5
1732913.5,4060,2178
1730022.5,3766,2037.5
1726094,3851,1903.5
1721627,4041.5,2093.5
1719165.5,4094,1996
1715006.5,3988.5,1945
1711270.5,3847,1941.5
1709550,3914.5,1917
1706400,3747,1980.5
1703716,3573.5,2082.5
1699726,3953.5,1726.5
1695923,4011,1839
1695923,4011,1839
